Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1415;201;322
1416;207;322
1417;221;321
1418;227;321
1419;209;321
1420;229;321
1421;230;321
1422;203;321
1423;698;321
1424;222;321
1425;201;321
1426;211;321
1427;700;321
1428;224;321
1429;754;322
1430;243;322
1431;229;322
1432;210;321
1433;227;321
1434;233;321
1435;204;321
1436;217;321
1437;226;321
1438;202;321
1439;206;321
1440;221;321
1441;230;321
1442;207;321
1443;212;321
1444;228;321
1445;198;320
1446;218;320
1447;231;320
1448;235;320
1449;202;320
1450;220;320
1451;226;320
1452;207;320
1453;214;320
1454;229;320
1455;197;320
1456;214;320
1457;224;320
1458;204;320
1459;214;319
1460;218;319
1461;230;319
1462;213;319
1463;216;319
1464;229;319
1465;202;319
1466;214;319
1467;218;319
1468;236;319
1469;209;319
1470;224;319
1471;225;319
1472;210;319
1473;212;319
1474;233;318
1475;198;318
1476;215;318
1477;215;318
1478;231;318
1479;202;318
1480;699;318
1481;228;318
1482;215;318
1483;229;318
1484;706;318
1485;201;318
1486;218;318
1487;222;318
1488;682;318
1489;216;318
1490;223;318
1491;198;318
1492;683;318
1493;219;318
1494;233;318
1495;203;318
1496;694;319
1497;225;318
1498;205;318
1499;208;318
1500;698;319
1501;210;319
1502;209;318
1503;216;318
1504;704;319
1505;203;319
1506;216;318
1507;228;318
1508;685;319
1509;213;319
1510;226;319
1511;200;318
1512;686;319
1513;221;319
1514;233;319
1515;205;318
1516;696;319
1517;227;319
1518;203;319
1519;216;319
1520;704;319
1521;200;319
1522;215;319
1523;222;319
1524;680;319
1525;211;319
1526;223;319
1527;225;319
1528;688;319
1529;216;319
1530;1607;320
1531;217;320
1532;234;320
1533;203;319
1534;208;319
1535;219;319
1536;229;319
1537;208;319
1538;215;319
1539;229;319
1540;203;319
1541;213;319
1542;234;319
1543;205;319
1544;217;319
1545;225;319
1546;208;319
1547;212;318
1548;225;318
1549;198;318
1550;213;318
1551;222;318
1552;234;318
1553;204;318
1554;228;318
1555;229;318
1556;217;318
1557;217;318
1558;230;318
1559;201;318
1560;216;318
1561;225;318
1562;207;318
1563;207;317
1564;222;317
1565;226;317
1566;210;317
1567;221;317
1568;230;317
1569;195;317
1570;213;317
1571;219;317
1572;202;317
1573;210;317
1574;230;317
1575;227;317
1576;211;317
1577;218;317
1578;238;317
1579;206;316
1580;220;316
1581;370;316
1582;210;316
1583;218;316
1584;234;316
1585;205;316
1586;223;316
1587;226;316
1588;210;316
1589;220;316
1590;232;316
1591;203;316
1592;219;316
1593;224;316
1594;213;316
1595;214;316
1596;231;315
1597;202;315
1598;218;315
1599;223;315
1600;203;315
1601;211;315
1602;223;315
1603;198;315
1604;217;315
1605;220;315
1606;234;315
1607;201;315
1608;231;315
1609;227;315
1610;219;315
1611;216;315
1612;232;314
1613;207;314
1614;221;314
1615;230;314
1616;230;314
1617;200;314
1618;216;314
1619;224;314
1620;202;314
1621;205;314
1622;220;314
