Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1286;221;248
1287;672;249
1288;208;249
1289;205;249
1290;232;249
1291;197;249
1292;216;249
1293;218;249
1294;204;248
1295;213;248
1296;679;249
1297;244;249
1298;223;249
1299;195;249
1300;692;249
1301;210;249
1302;198;249
1303;198;249
1304;221;249
1305;208;249
1306;209;249
1307;191;249
1308;195;249
1309;227;249
1310;192;249
1311;211;249
1312;211;249
1313;200;249
1314;204;249
1315;222;249
1316;263;249
1317;212;249
1318;217;249
1319;204;248
1320;209;248
1321;230;248
1322;200;248
1323;215;248
1324;190;248
1325;206;248
1326;194;248
1327;201;248
1328;224;248
1329;186;248
1330;210;248
1331;218;248
1332;194;248
1333;202;248
1334;223;248
1335;204;248
1336;212;248
1337;216;248
1338;206;248
1339;213;248
1340;227;248
1341;193;248
1342;216;248
1343;190;248
1344;209;248
1345;211;248
1346;1463;249
1347;243;249
1348;226;249
1349;202;249
1350;220;249
1351;225;248
1352;687;249
1353;210;249
1354;225;249
1355;197;249
1356;221;249
1357;203;249
1358;209;249
1359;223;249
1360;198;249
1361;228;249
1362;227;249
1363;205;249
1364;208;248
1365;196;248
1366;203;248
1367;217;248
1368;221;248
1369;206;248
1370;216;248
1371;202;248
1372;204;248
1373;221;248
1374;191;248
1375;210;248
1376;212;248
1377;204;248
1378;686;248
1379;221;248
1380;192;248
1381;215;248
1382;225;248
1383;207;248
1384;207;248
1385;199;248
1386;204;248
1387;699;249
1388;202;248
1389;211;248
1390;215;248
1391;197;248
1392;223;248
1393;220;248
1394;204;248
1395;566;249
1396;191;249
1397;197;248
1398;220;248
1399;220;248
1400;209;248
1401;213;248
1402;196;248
1403;199;248
1404;216;248
1405;216;248
1406;200;248
1407;204;248
1408;226;248
1409;193;248
1410;208;248
1411;215;248
1412;204;248
1413;730;248
1414;233;248
1415;196;248
1416;686;249
1417;214;249
1418;200;249
1419;208;249
1420;229;249
1421;215;249
1422;216;249
1423;205;248
1424;206;248
1425;231;248
1426;195;248
1427;218;248
1428;190;248
1429;205;248
1430;206;248
1431;228;248
1432;204;248
1433;216;248
1434;189;248
1435;215;248
1436;213;248
1437;193;248
1438;197;248
1439;221;248
1440;197;248
1441;208;248
1442;698;248
1443;200;248
1444;206;248
1445;3244;250
1446;208;250
1447;213;250
1448;194;250
1449;200;250
1450;220;250
1451;220;250
1452;207;250
1453;208;250
1454;229;250
1455;196;250
1456;215;250
1457;220;250
1458;206;250
1459;208;250
1460;228;250
1461;200;250
1462;215;250
1463;219;250
1464;207;250
1465;207;250
1466;229;250
1467;195;250
1468;692;250
1469;221;250
1470;198;250
1471;207;250
1472;221;250
1473;209;250
1474;215;250
1475;199;250
1476;201;250
1477;224;250
1478;192;250
1479;209;250
1480;215;250
1481;198;250
1482;207;250
1483;217;250
1484;188;250
1485;214;249
1486;217;249
1487;195;249
1488;201;249
1489;221;249
1490;197;249
1491;209;249
1492;225;249
1493;197;249
1494;238;249
1495;187;249
1496;211;249
1497;212;249
1498;192;249
1499;198;249
1500;221;249
1501;189;249
1502;206;249
1503;216;249
1504;198;249
1505;207;249
1506;220;249
1507;212;249
1508;214;249
1509;202;249
1510;206;249
1511;221;249
1512;192;249
1513;209;249
1514;213;249
1515;197;249
1516;201;249
1517;230;249
1518;224;249
1519;204;249
1520;213;249
1521;199;249
1522;207;248
1523;235;248
1524;188;248
1525;211;248
1526;215;248
1527;195;248
1528;218;248
1529;189;248
1530;204;248
1531;211;248
1532;198;248
1533;201;248
1534;222;248
1535;189;248
1536;207;248
1537;213;248
1538;199;248
1539;203;248
1540;223;248
1541;194;248
1542;212;248
1543;244;248
1544;204;248
1545;207;248
1546;229;248
1547;198;248
1548;219;248
1549;205;248
1550;209;248
1551;222;248
1552;198;248
1553;217;248
1554;222;248
1555;211;248
1556;214;248
1557;244;248
1558;199;248
1559;225;248
1560;197;248
1561;207;248
1562;212;247
1563;199;247
1564;204;247
1565;214;247
1566;190;247
1567;212;247
1568;215;247
1569;197;247
1570;227;247
1571;189;247
1572;204;247
1573;212;247
1574;206;247
1575;205;247
1576;224;247
