Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
3974;1652;1015;5257;1442;253605;250429
3975;16;1015;2646;1442;252634;250429
3976;1640;1015;13;1442;248373;250429
3977;1632;1015;13;1442;248381;250428
3978;1611;1016;6030;1443;254420;250429
3979;11;1015;14;1442;250006;250429
3980;3597;1016;9;1442;246414;250428
3981;3597;1017;1579;1442;247984;250427
3982;1578;1017;3577;1443;252000;250428
3983;11;1017;1950;1443;251942;250428
3984;3556;1017;916;1443;247363;250427
3985;2561;1018;554;1442;247995;250427
3986;1545;1018;3539;1443;251996;250427
3987;20;1017;14;1443;249997;250427
3988;16;1017;13;1442;250001;250427
3989;1516;1017;13;1442;248499;250426
3990;7;1017;13;1442;250010;250426
3991;15;1017;9;1441;249997;250426
3992;1496;1017;13;1441;248520;250426
3993;1475;1017;3477;1441;252005;250426
3994;15;1017;9;1441;249997;250426
3995;1467;1017;3448;1442;251984;250426
3996;15;1017;14;1441;250002;250426
3997;1446;1017;17;1441;248571;250426
3998;11;1017;3427;1441;253419;250427
3999;1426;1017;17;1441;248591;250426
4000;1413;1017;13;1441;248600;250426
4001;2503;1017;3394;1441;250894;250426
4002;11;1017;383;1441;250375;250426
4003;7;1017;382;1441;250379;250426
4004;11;1016;9;1440;250001;250426
4005;15;1016;362;1440;250350;250426
4006;11;1016;9;1440;250001;250425
4007;15;1016;345;1439;250333;250425
4008;2338;1016;333;1439;247997;250425
4009;2325;1016;324;1439;248002;250424
4010;2321;1017;9;1438;247691;250424
4011;2309;1017;17;1438;247711;250423
4012;2301;1017;9;1438;247711;250422
4013;2292;1018;14;1437;247725;250422
4014;2280;1018;13;1437;247733;250421
4015;2272;1018;17;1437;247745;250420
4016;16;1018;257;1436;250245;250420
4017;15;1018;18;1436;250006;250420
4018;7;1017;9;1436;250006;250420
4019;15;1017;18;1435;250006;250420
4020;2222;1017;9;1435;247788;250419
4021;2222;1018;9;1435;247788;250419
4022;11;1017;966;1434;250958;250419
4023;1194;1018;3193;1435;252000;250419
4024;2198;1018;187;1435;247990;250418
4025;11;1018;18;1434;250010;250418
4026;11;1017;166;1434;250158;250418
4027;15;1017;14;1434;250002;250418
4028;11;1017;9;1433;250001;250418
4029;2148;1017;9;1433;247863;250417
4030;11;1017;125;1432;250117;250417
4031;15;1017;9;1432;249997;250417
4032;20;1016;4087;1433;254070;250418
4033;2107;1017;9;1432;247905;250418
4034;2095;1017;92;1432;248000;250417
4035;12;1017;87;1432;250075;250417
4036;1326;1017;79;1431;248755;250416
4037;11;1016;4075;1432;254067;250417
4038;11;1016;4054;1433;254046;250418
4039;2058;1016;50;1432;247992;250418
4040;2038;1017;79;1432;248041;250417
4041;15;1016;4029;1433;254017;250418
4042;2038;1017;18;1432;247980;250417
4043;2018;1017;21;1432;248004;250417
4044;2009;1017;17;1432;248009;250416
4045;12;1017;9;1431;249997;250416
4046;2018;1017;3985;1432;251968;250416
4047;1978;1017;3977;1433;252000;250417
4048;15;1017;14;1432;250002;250417
4049;7;1017;17;1432;250014;250417
4050;11;1017;14;1432;250006;250417
4051;7;1016;3939;1432;253936;250417
4052;11;1016;9;1432;250001;250417
4053;5925;1017;9;1431;244086;250416
4054;1920;1018;3935;1432;252018;250416
4055;1904;1018;17;1432;248116;250416
4056;16;1018;3885;1432;253873;250416
4057;11;1017;18;1432;250010;250416
4058;11;1017;3877;1433;253869;250417
4059;12;1017;17;1432;250005;250417
4060;1854;1017;9;1432;248155;250417
4061;1850;1017;13;1432;248163;250416
4062;1834;1017;13;1431;248179;250415
4063;7;1017;9;1431;250006;250415
4064;15;1017;9;1430;249997;250415
4065;1813;1017;13;1430;248201;250415
4066;1826;1017;13;1430;248187;250414
4067;1817;1018;9;1429;248193;250414
4068;154;1017;17;1429;249864;250413
4069;1170;1017;13;1429;248844;250413
4070;7;1017;3780;1429;253777;250414
4071;1772;1017;3760;1430;251990;250414
4072;11;1017;3744;1430;253736;250415
4073;11;1017;14;1430;250006;250415
4074;1772;1017;3727;1431;251956;250415
4075;12;1017;3722;1431;253710;250416
4076;15;1017;18;1431;250006;250416
4077;11;1016;9;1431;250001;250416
4078;4365;1017;3714;1431;249349;250416
4079;1698;1017;2534;1431;250839;250416
4080;16;1017;17;1431;250005;250416
4081;11;1017;662;1431;250654;250416
4082;7;1017;9;1430;250002;250416
4083;1665;1017;17;1430;248352;250415
4084;1392;1017;3627;1431;252236;250416
4085;1632;1017;3635;1431;252003;250416
4086;16;1017;13;1431;250001;250416
4087;1636;1017;3610;1431;251974;250416
4088;9670;1019;3605;1432;243937;250415
4089;15;1019;3623;1432;253611;250415
4090;1607;1019;17;1432;248411;250415
4091;15;1019;3569;1433;253557;250416
4092;1640;1019;3551;1433;251911;250416
4093;15;1019;3540;1434;253528;250417
4094;15;1018;3560;1434;253548;250418
4095;11;1018;3535;1435;253527;250418
4096;11;1018;14;1434;250006;250418
4097;11;1018;3510;1435;253502;250419
4098;15;1017;9;1435;249997;250419
4099;11;1017;9;1434;250001;250419
4100;1496;1017;3527;1435;252034;250419
4101;11;1017;3485;1435;253477;250420
4102;1471;1017;18;1435;248550;250420
4103;1467;1017;17;1434;248554;250419
4104;1458;1017;3443;1435;251989;250419
4105;7;1017;3430;1435;253427;250420
4106;1471;1017;3440;1436;251972;250421
4107;12;1017;3430;1436;253418;250421
4108;7;1017;9;1436;250006;250421
4109;1413;1017;13;1436;248600;250421
4110;12;1016;3397;1436;253385;250421
4111;11;1016;9;1436;250001;250421
4112;11;1016;5195;1437;255187;250423
