Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
1090;15;42;9;21;249997;249981
1091;11;42;18;21;250010;249981
1092;16;42;13;21;250001;249981
1093;7;42;17;21;250014;249981
1094;11;42;18;21;250010;249981
1095;15;42;14;21;250002;249981
1096;12;42;21;21;250009;249981
1097;11;42;18;21;250010;249981
1098;11;42;9;21;250001;249981
1099;15;42;9;21;249997;249981
1100;20;42;9;21;249992;249981
1101;20;42;18;21;250001;249981
1102;11;42;14;21;250006;249981
1103;587;43;13;21;249426;249980
1104;11;43;18;21;250010;249980
1105;7;43;13;21;250006;249980
1106;20;42;18;21;250001;249980
1107;15;42;9;21;249997;249980
1108;20;42;9;21;249992;249980
1109;11;42;14;21;250006;249981
1110;11;42;9;21;250001;249981
1111;11;42;9;21;250001;249981
1112;20;42;18;21;250001;249981
1113;15;42;14;21;250002;249981
1114;11;42;566;21;250558;249981
1115;15;42;9;21;249997;249981
1116;11;42;9;21;250001;249981
1117;11;42;18;21;250010;249981
1118;15;42;14;21;250002;249981
1119;11;42;18;21;250010;249981
1120;15;42;18;21;250006;249981
1121;15;42;9;21;249997;249981
1122;15;42;22;21;250010;249981
1123;11;42;18;21;250010;249981
1124;7;42;13;21;250010;249981
1125;15;42;9;21;249997;249981
1126;7;42;13;21;250010;249981
1127;15;42;18;21;250006;249981
1128;11;42;9;21;250001;249981
1129;20;42;18;21;250001;249981
1130;20;42;14;21;249997;249981
1131;15;42;18;21;250006;249981
1132;16;42;17;21;250005;249981
1133;15;42;14;21;250002;249981
1134;7;42;17;21;250014;249982
1135;15;42;9;21;249997;249982
1136;15;42;14;21;250002;249982
1137;16;42;13;21;250001;249982
1138;11;42;18;21;250010;249982
1139;7;42;17;21;250014;249982
1140;7;42;9;21;250006;249982
1141;15;42;908;22;250896;249982
1142;15;42;9;22;249997;249982
1143;15;42;18;22;250006;249982
1144;20;42;18;22;250001;249982
1145;7;41;13;22;250010;249982
1146;11;41;18;22;250010;249983
1147;11;41;9;22;250001;249983
1148;20;41;9;22;249992;249983
1149;11;41;9;22;250001;249983
1150;11;41;18;22;250010;249983
1151;11;41;9;22;250001;249983
1152;7;41;17;22;250014;249983
1153;15;41;9;22;249997;249983
1154;11;41;18;22;250010;249983
1155;16;41;13;22;250001;249983
1156;15;41;14;22;250002;249983
1157;11;41;18;22;250010;249983
